item_id,titulo,estado,precio,vendidos,preguntas,preguntas_por_venta,ejemplos
MLA859727205,Adhesivo Epoxi Suprabond Erpox Acero Máxima Soldadura 105gr,active,16425.0,5847,92,0.01573456473405165,"Hola! Para aluminio funcionará? | Me sirve para reparar una perdida de combustible en un tanque de plást | Costo envío cba capital | Sirve para pegar un inhodoro , resiste el agua? | Hola para un orificio en el bloque de motor de aluminio sirve?"
MLA872758443,Adhesivo Suprabond Montajes En Cartucho De 400ml,active,19876.0,1564,29,0.01854219948849105,Hola te consulto se puede pegar pisos porselanatos | Sirve para pegar ceramica? | Hola. Sirve para pegar una placa de chapa en un muelle de agua salada  | Hola sirve para pegar placas antihumedad | Hola este suprabon sirve para pegar hierro y madera Es una mesa de TV
MLA1122248240,Burlete Suprabond De Goma Para Ventanas - Blanco Blanco,under_review,10703.0,1413,18,0.012738853503184714,"Necesito que sea lo más sellador posible para evitar ingreso de ruido. | 3,5 mm. Debería servir el tipo P de burlete, verdad? Logra insonorizar | Buenas. Tengo ventanal de piso a techo corredizo. Cuales burletes iria | Que tipo de goma para burlete se recomienda para insonorizar todo lo p | Hola, quisiera saber en qué momento puede elegir que tipo de burlete q"
MLA826586832,Traba Discos Bulit De 5.5mm Con Funda + Recordatorio Bulit Amaril,active,48583.0,680,17,0.025,"Sabes si sirve para scooter qj? | consulta: esta medida es compatible con un disco de 200 mm, para ser m | Sirve para una yamaha ray 125? | hola, queria saber si sirve para una zanella zb 125 sport, gracias | Buenas, queria saber si va bien para una Vespa VXL 150. Gracias"
MLA1791726618,Zócalo Burlete Crafters Doble Bajo Puerta 95cm - Marrón,paused,6516.0,2325,12,0.005161290322580645,"hola, buenos dais! Veo que tenes un zocalo parecido a este de la marca | Llega hoy? | Hola, saben cuándo vuelven a tener stock en color gris? Gracias. | Color blanco tienen? | Que alturavtiene por si la puerta se traba al abrir"
MLA2058412518,Mosquitero Ventana Suprabond Autoadhesivo Con Abrojo 200x200 Colo,active,34454.0,363,12,0.03305785123966942,"La tela mosquitera que material es metal o PVC el pvc que resistencia  | Hola, el pagamento se puede quitar con facilidad en caso de quitar el  | El precio de 34,500 es por que cada una | Para ventanas de 120 de alto 120 de ancho tienen estas medidas o de má | Nesecito de 150 x 110 para vetanas de aluminio blanco sirve este produ"
MLA1445877225,Sellador Silicona Suprabond Neutra S-500 Transparente 280ml,active,11340.0,230,11,0.04782608695652174,"Es para sellar inodoro | hola ! queria saber si me sirve para pegar el espejo del auto ? de los | Hola buenas consulta para opticas tambien sirven? | Hola, sirve para adherir goma con metal? Para burlete de auto. Gracias | Necesito algo más para aplicarla?"
MLA2307537486,Pistola Suprabond Hx 200 + Barras Finas Ultratransparentes Rosa,active,38223.0,163,11,0.06748466257668712,es antiderrame? | Cuántas barras de silicona trae? | Hola cuántas barritas de silicona vienen? | Hola cuántas barritas vienen ? | Viene con el paquete de cuántas barras?
MLA818709665,Adhesivo Cianoacrilato Suprabond A-40 Plásticos Y Gomas 20g,active,18987.0,2491,10,0.004014452027298274,Pega los lentes SD | Venden el primer para pegar teflón? Si es posible... link por favor. G | en qué consiste el primer que debe usarse para pegar teflón? | Buenas tardes! Sirve para trabajos en 3d? | Buenas. Tienen un adhesivo de baja viscosidad para plástico (PLA) qué 
MLA2957657304,Bacha Roca Debba Monocomando - Lavatorio 3 Agujeros Blanco Brilla,active,159842.0,1,9,9.0,Acabo de realizar la compra y les envié por privado q me mandarán el l | se puede usar como bacha de apoyo sobre mesada de granito? | Como se instala? | Vienen los accesorios de fijación? | Medidas reales
MLA1131703379,Cadena Bulit Máxima Seguridad 150cm + Candado 72mm 5 Llaves,active,128942.0,1223,8,0.006541291905151268,"Hola sirve para la rueda de auxilio de una ram rampage? | Hola buenas tardes,Consulta la cadena es de 5/8 ? | Hola! Se puede hacer copia de las llaves? Gracias | Es de 3/4 o 3/8?? | Por favor , cuanto pesa el conjunto ? gracias ."
MLA2020382632,Inodoro Largo Ferrum Bari Blanco Ikl Blanco,active,300398.58,29,8,0.27586206896551724,"Hola!! Te consulto..Me podrías proveer además del inodoro,el depósito  | Es el adriatico largo con mochila de apoyo, lo que queria saber es si  | Que tal. Me haces un link con mochila y tapa, o individual así conside | Buen dia, es para reemplazar uno de la linea adriatica. Podre usar la  | Buenas no me dijiste el monto del envío me podrías especificar xfa"
MLA856460618,Adhesivo Suprabond Montajes En Cartucho De 400ml 2 Unidades Neutr,active,39752.0,84,8,0.09523809523809523,Tenes en negro o transparente? | Buen día quería saber si viene con la pistola aplicadora que figura en | Sirve para melamina? | sirve para pegar placas de PVC? | Hola buen día tengo que pegar un piso de goma sobre carpeta de cemento
MLA1429496197,Grifería De Ducha Peirano Embutir C. Cerámico - Napoli Baño Gris ,active,123302.0,89,8,0.0898876404494382,"Tienen también grifería alta para Bacha en misma línea? Si pueden pasa | hola, tenes este modelo para bidet y lavatorio? | Hola cómo estás consulta son de bronce la grifería o de metal ? | Hola tenes sin tranferencia??? | Hola, todas las piezas son de metal?"
MLA1698974005,Enduido Polacrin Interior Exterior Versátil 20 Litros,paused,32500.0,1,8,8.0,"hola, buen día cuánto me saldría el envío a tigre zona norte? | Y también quería saber por dónde se puede retirar | Hola, quería saber si hacen envíos a Lanús, Buenos Aires (CP 1824), qu | Hola, quería saber si hacen envíos a Villa Luzuriaga, Buenos Aires (CP | Hola, quería saber si hacen envíos a Caseros, Buenos Aires (CP 1678), "
MLA813096045,Traba Discos Bulit De 5.5mm Con Funda Amarillo,active,38414.0,966,8,0.008281573498964804,Hola. Para un scooter Vespa necesito de esta medida? Gracias. | Buenas noche tengo una Tornado 250cc se adapta para el disco delantero | Holaaa sirve para honda wave | Hola trae el cable recordatorio ? | Hola sirve este para corona de Yamaha raptor 700? Gracias
MLA2704720602,Pintura Latex Interior Suprabond Antihumedad - Blanca 1kg Blanco,paused,28603.0,74,7,0.0945945945945946,"Hola. Sirve para placa tipo San Francisco? | Me olvide, cuánto nececito? | Buenas,para una Habitación de 4×4,que color tenés,es efectiva? | Da terminación rugosa? Saludos | Buenas tardes tengo demaciada humedad en el techo del baño me puede se"
MLA855362166,Pistola Encoladora Suprabond Hot Melt Modelo Hx 200 Rosa S/c Rosa,active,27687.0,373,7,0.01876675603217158,"Temperatura | Es inalambrica | Hola cómo puedo anular esta compra No me di cuenta que llegaba el mart | Gracias agustin por la respuesta, lo voy a tener en cuenta cuando haga | Hola que tal, queria saber cuáles son las barras que me recomiendan co"
