origen,unidades,sku,ahorro_de,ahorro_cargo_fijo,ahorro_envio,supuesto,producto,precio_unidad,precio_suelto,ahorro_ml,descuento_que_banca,tope_marca,marca,descuento,limita,tipo_publicacion,precio_kit_sugerido,motivo,vendidas,item,user_product,crear_kit
multipack,4,CR0160000000ELPEL6AL,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Pelacables Automático Bulit Lateral Serie 600,47500.0,190000.0,22923.0,0.1427,0.15,Bulit,0.1427,la economía del kit,gold_pro,162894.83,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),3026,MLA799205105,MLAU282850436,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU282850436
multipack,4,CR0070INF600PIE,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Inflador De Pie Crafters Con Manómetro Bicicleta + Multiuso ,40277.0,161108.0,22923.0,0.2069,0.25,Crafters,0.2069,la economía del kit,gold_special,127775.89,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),2422,MLA1390260082,MLAU231460014,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU231460014
multipack,4,CR016000000000CPX300 + CR01600000CHMG10UT10,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Pistola Encoladora Silicona Suprabond + 10 Barras + Garantía,39456.0,157824.0,22923.0,0.1763,0.15,Suprabond,0.15,la marca,gold_special,134150.4,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),993,MLA1139583742,MLAU218296050,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU218296050
multipack,4,CR0160000000CDBTD55F,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Traba Discos Bulit De 5.5mm Con Funda Amarillo,38414.0,153656.0,22923.0,0.179,0.15,Bulit,0.15,la marca,gold_special,130607.6,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),985,MLA813096045,MLAU209857710,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU209857710
multipack,4,CR01600000INFS2430MP,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Inflador Con Manómetro Bulit Serie 200 Para Auto Moto Bici P,67925.0,271700.0,22923.0,0.1019,0.15,Bulit,0.1019,la economía del kit,gold_pro,244006.84,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),966,MLA1364259095,MLAU218140044,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU218140044
multipack,4,CR01600000INFS6272MA,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Inflador Con Manómetro Bulit Serie 600 Chico Azul,43859.0,175436.0,22923.0,0.1464,0.15,Bulit,0.1464,la economía del kit,gold_special,149746.26,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),884,MLA811926284,MLAU209397998,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU209397998
multipack,4,CR01600000000CDBU180,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Traba U Máxima Seguridad Bulit Gris Oscuro,52541.0,210164.0,22923.0,0.1268,0.15,Bulit,0.1268,la economía del kit,gold_special,183509.35,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),661,MLA812439849,MLAU208216957,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU208216957
multipack,4,CR01600000INFS6540MA,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Inflador Con Manómetro Bulit Serie 600 Grande Azul,115631.0,462524.0,22923.0,0.059,0.15,Bulit,0.059,la economía del kit,gold_pro,435234.98,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),623,MLA811931941,MLAU284623956,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU284623956
multipack,4,CR01600000CDBACCTDIS + CR0160000000CDBTD55F,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Traba Discos Bulit De 5.5mm Con Funda + Recordatorio Bulit A,58220.0,232880.0,22923.0,0.1151,0.15,Bulit,0.1151,la economía del kit,gold_pro,206081.4,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),512,MLA1139075423,MLAU1187301320,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU1187301320
multipack,4,CR0160000000PSTPL800,envío,0.0,22923.0,"el ahorro de envío supone que, sin el pack, serían compras separadas",Pistola Suprabond Portacartuchos Serie 800 Para Selladores,52909.3,211637.2,22923.0,0.1267,0.15,Suprabond,0.1267,la economía del kit,gold_special,184826.68,4 unidades en una venta ahorran $22.923 de envío ($30.564 → $7.641),505,MLA795298782,MLAU208251597,https://vendedores.mercadolibre.com.ar/publicar/kit?pre_charged_ups=MLAU208251597
